"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R19","0603","45mm","19.8mm","45mm","19.8mm","45.75mm","19.8mm","T","180.00","RES SMD 10K OHM 5% 1/10W 0603"
"R20","0603","43mm","14.2mm","43mm","14.2mm","43.75mm","14.2mm","T","180.00","RES 93.1K OHM 1% 1/10W 0603"
"R21","0603","43mm","15.6mm","43mm","15.6mm","43.75mm","15.6mm","T","180.00","RES 23.2K OHM 1% 1/10W 0603"
"R22","0603","28.25mm","22.8mm","28.25mm","22.8mm","29mm","22.8mm","T","180.00","RES SMD 10K OHM 5% 1/10W 0603"
"R23","0603","40.7mm","21.6mm","40.7mm","21.6mm","40.7mm","22.35mm","T","270.00","RES SMD 20K OHM 5% 1/10W 0603"
"R24","0603","26.8mm","24.2mm","26.8mm","24.2mm","26.05mm","24.2mm","T","360.00","RES SMD 100 OHM 1% 1/10W 0603"
"R25","1206_W","21.8mm","18.675mm","21.8mm","18.675mm","22.5266mm","18.675mm","T","180.00","RES 0.018 OHM 1W 1206 WIDE"
"R26","0603","26.8mm","25.7mm","26.8mm","25.7mm","26.05mm","25.7mm","T","360.00","RES SMD 100 OHM 1% 1/10W 0603"
"R27","0603","4.5mm","37.7mm","4.5mm","37.7mm","4.5mm","38.45mm","T","270.00","RES 52.3K OHM 1% 1/10W 0603"
"R28","0603","4.5mm","40.6mm","4.5mm","40.6mm","4.5mm","41.35mm","T","270.00","RES SMD 10K OHM 5% 1/10W 0603"
"C12","1206_-_NP","61.1mm","38.5mm","61.1mm","38.5mm","61.1mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C51","1206_-_NP","63.9mm","38.5mm","63.9mm","38.5mm","63.9mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"C53","1206_-_NP","69.5mm","38.5mm","69.5mm","38.5mm","69.5mm","40.2mm","T","270.00","CAP CER 47UF 25V X5R 1206"
"LED1","LED0603_BLUE","95mm","42mm","95mm","42mm","95.75mm","42mm","T","180.00","LB Q39G-L2N2-35-1"
"LED2","LED0603_BLUE","35mm","35mm","35mm","35mm","34.25mm","35mm","T","360.00","LB Q39G-L2N2-35-1"
"LED3","LED0603_BLUE","19mm","35mm","19mm","35mm","19.75mm","35mm","T","180.00","LB Q39G-L2N2-35-1"
"R30","0603","95mm","40mm","95mm","40mm","95.75mm","40mm","T","180.00","RES 470 OHM 1/10W 5% 0603 SMD"
"R31","0603","35mm","33.5mm","35mm","33.5mm","34.25mm","33.5mm","T","360.00","RES 470 OHM 1/10W 5% 0603 SMD"
"R32","0603","19mm","33.5mm","19mm","33.5mm","19.75mm","33.5mm","T","180.00","RES 470 OHM 1/10W 5% 0603 SMD"
"Q5","SON65P300X350X90-9N","26mm","12.3525mm","26mm","11.9mm","26.975mm","13.45mm","T","270.00","MOSFET N-CH 60V 60A 8VSON"
"Q8","SON65P300X350X90-9N","19.3525mm","24.2mm","18.9mm","24.2mm","20.45mm","23.225mm","T","180.00","MOSFET N-CH 60V 60A 8VSON"

